Radius (kpc)	Measured Velocity (km/s)	Radius Uncertainty 	Velocity Uncertainty	Visible Mass Inside Radius (Solar Masses)
0.17148362	17.194363	0.05	5.1	1.36E+07
0.4360183	37.724133	0.05	5.1	1.56E+08
0.616588	57.156334	0.05	5.1	3.00E+08
0.8204397	70.53634	0.05	5.1	5.86E+08
1.0746205	76.94638	0.05	5.1	1.12E+09
1.2705386	79.50738	0.05	5.1	1.60E+09
1.5233747	84.0837	0.05	5.1	2.37E+09
1.722251	90.6789	0.05	5.1	3.16E+09
1.8940805	98.19186	0.05	5.1	3.83E+09
2.2038345	104.7835	0.05	5.1	5.28E+09
2.542518	113.024605	0.05	5.1	6.94E+09
2.9901965	118.69494	0.05	5.1	9.04E+09
3.4659977	124.9145	0.05	5.1	1.13E+10
3.8548758	126.00228	0.05	5.1	1.28E+10
4.3273153	127.63752	0.05	5.1	1.43E+10
4.6902223	131.11005	0.05	5.1	1.50E+10
5.080445	134.03156	0.05	5.1	1.57E+10
5.497311	135.4852	0.05	5.1	1.63E+10
5.914312	137.12221	0.05	5.1	1.70E+10
6.32943	136.192	0.05	5.1	1.78E+10
6.744011	134.5283	0.05	5.1	1.86E+10
7.216719	136.53029	0.05	5.1	1.95E+10
7.6073456	140.0019	0.05	5.1	2.02E+10
8.022733	139.43845	0.05	5.1	2.08E+10
8.493828	139.23996	0.05	5.1	2.13E+10
8.798068	138.31331	0.05	5.1	2.16E+10
9.269835	139.03168	0.05	5.1	2.20E+10
9.687105	141.03543	0.05	5.1	2.24E+10
10.0485325	142.49086	0.05	5.1	2.26E+10
10.325861	142.66533	0.05	5.1	2.27E+10
10.768161	141.00075	0.05	5.1	2.30E+10
11.294426	140.43373	0.05	5.1	2.35E+10
11.79324	140.23434	0.05	5.1	2.39E+10
12.319236	139.30057	0.05	5.1	2.45E+10
12.762746	139.28635	0.05	5.1	2.53E+10
13.261829	139.4537	0.05	5.1	2.61E+10
13.8992405	139.24986	0.05	5.1	2.64E+10
14.536921	139.41278	0.05	5.1	2.67E+10
15.091308	139.39499	0.05	5.1	2.74E+10
15.590391	139.56235	0.05	5.1	2.85E+10
16.172632	139.72705	0.05	5.1	2.92E+10
16.75568	140.99197	0.05	5.1	3.01E+10
17.338459	141.89017	0.05	5.1	3.13E+10
17.811302	144.07552	0.05	5.1	3.21E+10
18.311865	146.25998	0.05	5.1	3.29E+10
18.840012	148.26018	0.05	5.1	3.39E+10
19.229965	150.81494	0.05	5.1	3.43E+10
19.508907	153.1899	0.05	5.1	3.45E+10
19.869797	153.91183	0.05	5.1	3.48E+10
20.395927	153.16144	0.05	5.1	3.56E+10
20.921387	151.49417	0.05	5.1	3.54E+10
21.086357	149.6551	0.05	5.1	3.53E+10
21.585173	149.45572	0.05	5.1	3.52E+10
22.056938	150.1741	0.05	5.1	3.54E+10
22.417292	150.16254	0.05	5.1	3.53E+10
22.584549	151.44081	0.05	5.1	3.53E+10
22.971813	150.32811	0.05	5.1	3.50E+10
23.164639	148.67152	0.05	5.1	3.49E+10
23.608955	149.75754	0.05	5.1	3.50E+10
23.996758	149.37834	0.05	5.1	3.47E+10
24.4147	152.29897	0.05	5.1	3.46E+10
24.886467	153.01733	0.05	5.1	3.46E+10
25.330648	153.91997	0.05	5.1	3.45E+10
25.693153	156.84236	0.05	5.1	3.47E+10
25.861082	159.0375	0.05	5.1	3.49E+10
